8
2019
Bayside City Council 	8-3 (51) 	147 	94 	55 	22 	51 	.627 	107 	20 	33 	16 	28
The Faceless Men 	7-1 (43) 	131 	105 	46 	50 	42 	.636 	92 	20 	32 	8 	12
Disown Team 	10-3 (63) 	146 	55 	63 	47 	27 	.706 	58 	26 	13 	20 	22
The Dow Jones 	8-10 (58) 	148 	74 	62 	0 	32 	.667 	79 	16 	19 	14 	19
Green Heinekens 	8-7 (55) 	119 	94 	34 	44 	46 	.685 	98 	20 	31 	28 	17
_thebiggerboi_ 	6-6 (42) 	122 	112 	35 	33 	59 	.650 	109 	21 	38 	16 	24
BunkoutWithBurnout! 	6-8 (44) 	124 	94 	29 	18 	47 	.628 	113 	18 	29 	17 	28
CostaWhyte 	6-5 (41) 	107 	93 	47 	24 	43 	.740 	85 	13 	24 	23 	13
Mushroom Alfredo 	9-8 (62) 	142 	112 	46 	45 	26 	.654 	125 	15 	51 	13 	30
Trunk 	9-4 (58) 	140 	84 	40 	34 	38 	.741 	87 	27 	25 	14 	11
Stand By Crouch 	4-5 (29) 	132 	113 	48 	44 	50 	.694 	110 	29 	35 	6 	24
The Spreadsheet 	2-8 (20) 	131 	127 	48 	13 	40 	.694 	111 	34 	40 	15 	13
Yablett 	11-4 (70) 	134 	83 	66 	37 	41 	.747 	84 	37 	28 	21 	19
Shrooms are great 	4-5 (29) 	154 	95 	57 	39 	34 	.695 	103 	40 	35 	21 	19
Derry Boys 	8-3 (51) 	139 	92 	52 	38 	37 	.701 	97 	32 	28 	20 	21
PASSWORD IS BAYSIDE 	4-5 (29) 	143 	108 	46 	27 	43 	.697 	93 	22 	33 	21 	20
flamingos 	2-5 (17) 	116 	125 	40 	23 	40 	.660 	111 	19 	33 	22 	11
Ardern's Army 	5-3 (33) 	154 	119 	58 	37 	46 	.678 	104 	34 	39 	13 	30
